title,source_url,status,family,sheet,period,insights
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Diciembre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-diciembre-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Noviembre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-noviembre-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Suscripciones y Desahucios del Sistema Isapre – año 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-suscripciones-y-desahucios-del-sistema-isapre-ano-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre – año 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-ano-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Movilidad de Cartera de Cotizantes del Sistema Isapre a Nivel Regional – Año 2025,https://www.superdesalud.gob.cl/biblioteca-digital/__trashed/,not_recorded_legacy,,,,0
Estadística Trimestral de Casos GES (AUGE) de Fonasa y Sistema Isapre – a septiembre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-trimestral-de-casos-ges-auge-de-fonasa-y-sistema-isapre-a-septiembre-2025/,not_recorded_legacy,,,,0
Estadísticas Financieras del Sistema Isapre a septiembre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadisticas-financieras-del-sistema-isapre-a-septiembre-2025/,not_recorded_legacy,,,,0
Estadística Anual de la Cobertura Adicional para Enfermedades Catastróficas (CAEC) del Sistema Isapre – año 2024,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-anual-de-la-cobertura-adicional-para-enfermedades-catastroficas-caec-del-sistema-isapre-ano-2024/,not_recorded_legacy,,,,0
Series Estadísticas del Sistema Isapre 1990-2024,https://www.superdesalud.gob.cl/biblioteca-digital/series-estadisticas-del-sistema-isapre-1990-2024/,not_recorded_legacy,,,,0
Estadística Anual de Planes de Salud del Sistema Isapre a Enero 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-anual-de-planes-de-salud-del-sistema-isapre-a-enero-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Octubre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-octubre-2025/,not_recorded_legacy,,,,0
Boletín Estadístico Informativo IP – Septiembre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/boletin-estadistico-informativo-ip-septiembre-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Septiembre 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-septiembre-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Movilidad de Cartera de Cotizantes del Sistema Isapre a Nivel Regional – Año 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-movilidad-de-cartera-de-cotizantes-del-sistema-isapre-a-nivel-regional-ano-2025/,not_recorded_legacy,,,,0
Estadística Trimestral de Casos GES (AUGE) de Fonasa y Sistema Isapre – a junio 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-trimestral-de-casos-ges-auge-de-fonasa-y-sistema-isapre-a-junio-2025/,not_recorded_legacy,,,,2
Estadística Trimestral de Casos GES (AUGE) de Fonasa y Sistema Isapre – a marzo 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-trimestral-de-casos-ges-auge-de-fonasa-y-sistema-isapre-a-marzo-2025/,not_recorded_legacy,,,,2
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Agosto 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-agosto-2025/,not_recorded_legacy,,,,0
Estadísticas Financieras del Sistema Isapre a junio 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadisticas-financieras-del-sistema-isapre-a-junio-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Julio 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-julio-2025/,not_recorded_legacy,,,,0
Boletín Estadístico Informativo IP – Junio 2025,https://www.superdesalud.gob.cl/biblioteca-digital/boletin-estadistico-informativo-ip-junio-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Junio 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-junio-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Mayo 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-mayo-2025/,not_recorded_legacy,,,,0
Estadísticas Financieras del Sistema Isapre a marzo 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadisticas-financieras-del-sistema-isapre-a-marzo-2025/,not_recorded_legacy,,,,0
Estadística Mensual de Cartera de Beneficiarios del Sistema Isapre a Nivel Regional – Abril 2025,https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-mensual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-regional-abril-2025/,not_recorded_legacy,,,,0
